epoch,train_loss,val_loss,val_tf_f1_micro,val_tf_prec_micro,val_tf_rec_micro,val_tf_f1_macro,val_tf_prec_macro,val_tf_rec_macro,val_tf_dice,val_tf_dice_soft,val_tf_bal_acc,val_tf_acc,val_tf_present_frac,val_tf_pred_pos_frac,val_tf_tgt_pos_frac,val_time_f1_micro,val_time_prec_micro,val_time_rec_micro,val_time_f1_macro,val_time_prec_macro,val_time_rec_macro,val_time_dice,val_time_dice_soft,val_time_bal_acc,val_time_acc,val_time_present_frac,val_time_pred_pos_frac,val_time_tgt_pos_frac,train_tf_f1_micro,train_tf_prec_micro,train_tf_rec_micro,train_tf_f1_macro,train_tf_prec_macro,train_tf_rec_macro,train_tf_dice,train_tf_dice_soft,train_tf_bal_acc,train_tf_acc,train_tf_present_frac,train_tf_pred_pos_frac,train_tf_tgt_pos_frac,train_time_f1_micro,train_time_prec_micro,train_time_rec_micro,train_time_f1_macro,train_time_prec_macro,train_time_rec_macro,train_time_dice,train_time_dice_soft,train_time_bal_acc,train_time_acc,train_time_present_frac,train_time_pred_pos_frac,train_time_tgt_pos_frac
13,0.116952,0.358427,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.358391,0.339447,0.381938,0.386437,0.458892,0.321551,0.358391,0.295654,0.610846,0.887283,0.577778,0.096168,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.692053,0.605659,0.808208,0.621613,0.571227,0.728839,0.692053,0.58045,0.834837,0.93949,0.999387,0.112396,0.084144
14,0.102079,0.365139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.384618,0.356958,0.41876,0.390069,0.467607,0.354486,0.384618,0.311315,0.630052,0.887829,0.577778,0.100201,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.724958,0.637268,0.841406,0.669709,0.605373,0.781883,0.724958,0.627668,0.864146,0.946287,0.998773,0.111156,0.084132
15,0.093903,0.413533,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.326857,0.31216,0.344165,0.405429,0.487198,0.295088,0.326857,0.267602,0.606667,0.878518,0.577778,0.096218,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.744223,0.655866,0.861013,0.690098,0.622239,0.807012,0.744223,0.655683,0.878267,0.950203,1.0,0.110546,0.084114
16,0.088631,0.420112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.39254,0.375308,0.413115,0.474033,0.418502,0.334616,0.39254,0.321765,0.626398,0.891218,0.577778,0.095142,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.758203,0.671483,0.871412,0.708851,0.642152,0.823133,0.758203,0.674559,0.887817,0.953213,0.998773,0.109284,0.084139
17,0.084467,0.415109,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.374922,0.346802,0.410474,0.443504,0.41562,0.329626,0.374922,0.310051,0.619984,0.886998,0.577778,0.098766,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.770365,0.687646,0.876504,0.71912,0.6531,0.828189,0.770365,0.691366,0.892018,0.956015,1.0,0.107345,0.08414
18,0.080833,0.448406,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.316748,0.315277,0.320062,0.421961,0.430238,0.29803,0.316748,0.271773,0.613689,0.882323,0.577778,0.087184,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.780288,0.699516,0.882967,0.7319,0.666107,0.838727,0.780288,0.70486,0.898327,0.958135,0.99816,0.106303,0.084136
19,0.076954,0.51925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.327625,0.324303,0.333442,0.413619,0.454898,0.314379,0.327625,0.286247,0.612209,0.882612,0.577778,0.089709,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.792127,0.713694,0.890674,0.742305,0.68026,0.845557,0.792127,0.72019,0.903082,0.960674,1.0,0.105085,0.084147
20,0.07514,0.457387,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.343277,0.336672,0.352436,0.414375,0.41712,0.326859,0.343277,0.297042,0.619785,0.887602,0.577778,0.088806,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.797519,0.720697,0.893469,0.74802,0.686869,0.851165,0.797519,0.728221,0.906506,0.961826,1.0,0.104377,0.084135
21,0.070483,0.475376,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.351801,0.353823,0.351973,0.392669,0.4108,0.271673,0.351801,0.313503,0.593124,0.889272,0.577778,0.087215,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.81112,0.739479,0.898859,0.762812,0.701425,0.857856,0.81112,0.74565,0.911541,0.964751,1.0,0.10238,0.084157
22,0.068073,0.459627,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.360238,0.361535,0.361246,0.400752,0.444385,0.316078,0.360238,0.311526,0.616232,0.892984,0.577778,0.084245,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.818013,0.748638,0.9023,0.770873,0.711992,0.864443,0.818013,0.755826,0.915633,0.966215,1.0,0.101487,0.08414
