epoch,train_loss,val_loss,val_tf_f1_micro,val_tf_prec_micro,val_tf_rec_micro,val_tf_f1_macro,val_tf_prec_macro,val_tf_rec_macro,val_tf_dice,val_tf_dice_soft,val_tf_bal_acc,val_tf_acc,val_tf_present_frac,val_tf_pred_pos_frac,val_tf_tgt_pos_frac,val_time_f1_micro,val_time_prec_micro,val_time_rec_micro,val_time_f1_macro,val_time_prec_macro,val_time_rec_macro,val_time_dice,val_time_dice_soft,val_time_bal_acc,val_time_acc,val_time_present_frac,val_time_pred_pos_frac,val_time_tgt_pos_frac,train_tf_f1_micro,train_tf_prec_micro,train_tf_rec_micro,train_tf_f1_macro,train_tf_prec_macro,train_tf_rec_macro,train_tf_dice,train_tf_dice_soft,train_tf_bal_acc,train_tf_acc,train_tf_present_frac,train_tf_pred_pos_frac,train_tf_tgt_pos_frac,train_time_f1_micro,train_time_prec_micro,train_time_rec_micro,train_time_f1_macro,train_time_prec_macro,train_time_rec_macro,train_time_dice,train_time_dice_soft,train_time_bal_acc,train_time_acc,train_time_present_frac,train_time_pred_pos_frac,train_time_tgt_pos_frac
1,0.234515,0.279762,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.351169,0.256973,0.318644,0.186635,0.719362,0.157784,0.274254,0.16316,0.515055,0.911989,0.530769,0.070263,0.058408,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.26566,0.298494,0.284291,0.107609,0.762069,0.080115,0.26566,0.163264,0.511406,0.91956,0.9528,0.057215,0.054136
2,0.192673,0.264189,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.352803,0.309579,0.437957,0.333111,0.595565,0.230503,0.352803,0.231177,0.554828,0.920478,0.530769,0.075846,0.058408,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.408356,0.377632,0.459893,0.296508,0.418069,0.225648,0.408356,0.242488,0.5849,0.929319,0.9488,0.066305,0.054129
3,0.170104,0.308946,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.307916,0.316726,0.341705,0.280456,0.588362,0.188571,0.307916,0.208411,0.543314,0.899366,0.530769,0.0847,0.058408,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.466376,0.398931,0.573088,0.369298,0.36805,0.355992,0.466376,0.297234,0.647228,0.92957,0.952,0.078286,0.054131
4,0.15388,0.327921,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.228828,0.337679,0.190632,0.193148,0.76362,0.099872,0.228828,0.157902,0.535519,0.933391,0.530769,0.03144,0.058408,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.518228,0.441295,0.638098,0.419521,0.40286,0.446091,0.518228,0.35325,0.694949,0.936244,0.9484,0.078696,0.054126
5,0.143397,0.280472,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.355447,0.354659,0.383078,0.389235,0.545817,0.245644,0.355447,0.251604,0.587266,0.926562,0.530769,0.06324,0.058408,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.547199,0.463627,0.677279,0.456338,0.432573,0.510807,0.547199,0.38942,0.728489,0.939693,0.9488,0.079411,0.054129
6,0.135796,0.261045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.280241,0.300684,0.281614,0.284181,0.601145,0.193092,0.280241,0.214609,0.567096,0.927077,0.530769,0.049587,0.058408,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.568786,0.47903,0.707641,0.478023,0.435519,0.552125,0.568786,0.415878,0.749748,0.942135,0.954,0.080349,0.054127
7,0.129277,0.268727,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.295887,0.307087,0.321812,0.376485,0.540356,0.233506,0.295887,0.236151,0.582442,0.928356,0.530769,0.056135,0.058408,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.585878,0.49107,0.732628,0.499948,0.449812,0.586599,0.585878,0.438534,0.767631,0.944245,0.9536,0.080975,0.05413
8,0.122989,0.273476,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.348054,0.392925,0.339278,0.4125,0.484191,0.243019,0.348054,0.243356,0.59467,0.935957,0.530769,0.047989,0.058408,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.60273,0.505414,0.753315,0.523237,0.461163,0.62202,0.60273,0.459714,0.78598,0.946439,0.9508,0.080988,0.054131
9,0.117739,0.287992,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.345909,0.338906,0.380127,0.40673,0.505907,0.294984,0.345909,0.252751,0.609445,0.924805,0.530769,0.06481,0.058408,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.616821,0.516565,0.772655,0.541294,0.468948,0.645833,0.616821,0.478026,0.798366,0.948195,0.954,0.081317,0.054132
10,0.112704,0.319203,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.214756,0.346469,0.184726,0.362431,0.569024,0.182137,0.214756,0.168628,0.574624,0.934155,0.530769,0.030036,0.058408,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.630951,0.527902,0.789279,0.550842,0.484525,0.672005,0.630951,0.496384,0.811893,0.950239,0.9428,0.081076,0.054135
