epoch,train_loss,val_loss,val_tf_f1_micro,val_tf_prec_micro,val_tf_rec_micro,val_tf_f1_macro,val_tf_prec_macro,val_tf_rec_macro,val_tf_dice,val_tf_dice_soft,val_tf_bal_acc,val_tf_acc,val_tf_present_frac,val_tf_pred_pos_frac,val_tf_tgt_pos_frac,val_time_f1_micro,val_time_prec_micro,val_time_rec_micro,val_time_f1_macro,val_time_prec_macro,val_time_rec_macro,val_time_dice,val_time_dice_soft,val_time_bal_acc,val_time_acc,val_time_present_frac,val_time_pred_pos_frac,val_time_tgt_pos_frac,train_tf_f1_micro,train_tf_prec_micro,train_tf_rec_micro,train_tf_f1_macro,train_tf_prec_macro,train_tf_rec_macro,train_tf_dice,train_tf_dice_soft,train_tf_bal_acc,train_tf_acc,train_tf_present_frac,train_tf_pred_pos_frac,train_tf_tgt_pos_frac,train_time_f1_micro,train_time_prec_micro,train_time_rec_micro,train_time_f1_macro,train_time_prec_macro,train_time_rec_macro,train_time_dice,train_time_dice_soft,train_time_bal_acc,train_time_acc,train_time_present_frac,train_time_pred_pos_frac,train_time_tgt_pos_frac
1,0.270145,0.358828,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.329118,0.344333,0.337229,0.22209,0.757828,0.166319,0.329118,0.191862,0.463902,0.908881,0.490909,0.070388,0.075445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.39542,0.364054,0.448368,0.223795,0.503725,0.142928,0.39542,0.224428,0.526655,0.898473,0.991489,0.094226,0.071549
2,0.220781,0.308104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.323905,0.299976,0.367659,0.453855,0.466688,0.213063,0.323905,0.206919,0.491739,0.889955,0.490909,0.091674,0.075445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.485656,0.432431,0.557661,0.344203,0.371372,0.303871,0.485656,0.314436,0.61586,0.915624,0.992553,0.092691,0.071624
3,0.199229,0.306247,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.380003,0.357853,0.443544,0.513092,0.488806,0.255527,0.380003,0.279156,0.491843,0.904311,0.490909,0.091109,0.075445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.523254,0.44229,0.64354,0.409558,0.392865,0.444818,0.523254,0.362548,0.684156,0.916211,0.992021,0.104429,0.071564
4,0.185795,0.337172,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.34615,0.30148,0.421552,0.402489,0.518213,0.316422,0.34615,0.264519,0.509508,0.884004,0.490909,0.108514,0.075445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.54794,0.457071,0.686422,0.445393,0.405146,0.509404,0.54794,0.397416,0.716596,0.919034,0.991489,0.107736,0.071552
5,0.174783,0.301074,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.322631,0.299609,0.364188,0.405554,0.450186,0.331881,0.322631,0.246406,0.532817,0.891961,0.490909,0.091409,0.075445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.57109,0.47363,0.722197,0.488207,0.427062,0.569728,0.57109,0.424359,0.747615,0.922452,0.989894,0.109392,0.071577
6,0.166058,0.369107,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.302941,0.25449,0.390406,0.333019,0.539238,0.341506,0.302941,0.239432,0.525041,0.871651,0.490909,0.114869,0.075445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.586818,0.484098,0.747669,0.500623,0.442036,0.612499,0.586818,0.44647,0.769242,0.92463,0.98883,0.110851,0.07162
7,0.158805,0.295584,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.396569,0.377595,0.450213,0.47568,0.48526,0.369314,0.396569,0.299975,0.553859,0.90529,0.490909,0.091512,0.075445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.601549,0.494535,0.770445,0.518497,0.454679,0.646224,0.601549,0.465827,0.786858,0.927058,0.989894,0.111708,0.071575
8,0.151663,0.309286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.378265,0.361677,0.437044,0.350226,0.557128,0.349746,0.378265,0.307197,0.540499,0.901188,0.490909,0.093888,0.075445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.613404,0.502956,0.788508,0.535966,0.467098,0.679034,0.613404,0.484543,0.803876,0.928983,0.992021,0.11232,0.07155
9,0.145951,0.340497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.367603,0.333558,0.432396,0.444432,0.453088,0.338484,0.367603,0.275483,0.543518,0.896173,0.490909,0.097763,0.075445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.624947,0.512428,0.803232,0.545545,0.466031,0.699541,0.624947,0.499778,0.814739,0.931098,0.989362,0.112297,0.071538
10,0.140235,0.436357,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.326015,0.278405,0.408741,0.345899,0.530349,0.345572,0.326015,0.262146,0.533807,0.876153,0.490909,0.114007,0.075445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.637153,0.523377,0.816399,0.565361,0.488733,0.721549,0.637153,0.517016,0.826658,0.933464,0.989894,0.11187,0.071581
